FEN,eval,next_move
r1b2rk1/pp2p1bp/3q2p1/2pP1p2/4PP2/2P3P1/P1Q1B2P/1RB1K2R w K - 1 15,0.03,
r1bqkb1r/pp2pppp/2np1n2/8/3NP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 3 6,0.45,
rnbqkbnr/pp2pppp/3p4/8/3NP3/8/PPP2PPP/RNBQKB1R b KQkq - 0 4,-0.19,
8/4r2k/r2p2pp/4pp2/P1P1P3/1P2R2P/3N1PP1/6K1 b - - 1 38,-0.27,
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,0.17,
rnbqkbnr/1p1p1ppp/p3p3/8/3NP3/8/PPP2PPP/RNBQKB1R w KQkq - 0 5,0.34,
r5k1/pprqbppp/2n1p3/3pP3/3P4/1Q3N2/PPRB1PPP/2R3K1 b - - 8 16,0.0,
r1br2k1/pp2npp1/2nqp2p/1N1p4/3P4/3BPN2/PP3PPP/2RQ1RK1 b - - 5 12,-0.34,
1q2Q1k1/r5pp/4pp2/2p5/1pP1P1PP/3R1P2/P1P5/2KR4 b - - 0 31,-0.35,
r1bqk2r/pp1p1pp1/2n1pn1p/2P3B1/1bP5/1QN5/PP2PPPP/R3KBNR w KQkq - 0 7,-0.02,
1k1r1b1r/ppq3pb/1np1Bn1p/4p3/7P/3NB1N1/PPP1QPP1/R3R1K1 b - - 3 17,0.34,
r5k1/p3qppp/1p2b3/2rp4/1n2P3/P4N2/1P3PPP/1BRQ1RK1 b - - 0 16,-0.06,
2rqrbk1/pb3ppp/1pn1pn2/3p4/2PP4/PP1B1NN1/1B3PPP/2RQR1K1 b - - 10 15,-0.06,
r1bqk2r/ppp2ppp/2np1n2/3p4/2P5/2Q2N2/PP2PPPP/R1B1KB1R w KQkq - 0 8,0.22,
rnbqkbnr/pp1ppppp/8/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,-0.29,
r1bqk1nr/3p1pbp/p1p1p1p1/8/4P3/2PB4/PP1N1PPP/R1BQK2R w KQkq - 0 9,0.31,
8/2rR3k/2P3pp/p7/4Q3/6PP/q4PK1/8 b - - 1 48,-15.52,
3r2k1/pp3pbp/3pb1p1/BN2n3/4P3/6PP/PP3PB1/R5K1 b - - 0 20,0.03,
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,0.12,
8/2pk3p/p2n2p1/2p2P2/5P2/P2KN3/1P5P/8 b - - 0 42,0.24,
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,0.13,
r4rk1/1p3ppp/p1np1b2/4p3/4P3/1P3N2/1PP1BPPP/R4RK1 b - - 0 15,-0.25,
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,0.17,
r2r1b2/pbk2ppp/1pn1p3/5P2/4P3/2PN4/P3B1PP/R1B1K2R b KQ - 0 17,0.4,
3r1rk1/p3ppbp/1p2b1p1/Bq1nP3/2pPN3/P4NP1/1P2QPBP/2RR2K1 b - - 0 21,-0.44,
r1b2rk1/pp1nqppp/2p1pn2/8/1bBP4/2N1PN2/PPQB1PPP/R3K2R w KQ - 1 10,0.31,
4rbk1/5pp1/Qpp1b3/4P2p/1PpPq3/2B5/5PPP/2R2NK1 b - - 5 24,0.5,
rnbqkb1r/1pp2ppp/p4n2/3p4/3P4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 6,0.18,
r2rk3/p4pp1/1p2b2p/1n6/1P2N3/4B3/1P3PPP/R3R1K1 w - - 0 21,0.0,
R7/1r1bk2p/1p3p2/5p2/1P2p3/4P1P1/5PKP/5B2 b - - 7 33,-0.32,
8/8/5Q2/1q2N1K1/8/1k6/8/8 w - - 43 79,0.5,
5k2/2pr2p1/1pp2p1p/p3q2Q/2P5/1P6/1P4NP/6RK w - - 0 32,0.39,
r1bqkbnr/pppp1ppp/2n5/8/3pP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4,0.04,
3q1rk1/pp1nbppp/5n2/3R1P2/4pP2/2P1B3/P1P3PP/1K1Q1B1R b - - 1 15,-0.07,
8/ppp1k3/4p2p/5p2/1PP2PP1/5K1P/P7/8 b - - 0 28,-0.08,
rnbqk2r/ppp1bppp/4pn2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 1 5,0.09,
6Q1/4kp1P/8/8/4P1K1/8/5P2/3q4 w - - 15 57,8.55,
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,0.13,
rn2k2r/p4ppp/b1p1p3/3q4/P1NP4/1p1QP3/1P1b1PPP/R3KB1R w KQkq - 0 15,-0.38,
8/p4pk1/1pp2bp1/3p3p/3P4/2P1PNPP/PP4K1/8 b - - 0 28,0.0,
3r2k1/Q4p1p/5qp1/3r4/R2p4/3B3b/P4PP1/3R2K1 w - - 0 33,-0.78,
1r3rk1/p1q1ppbp/6p1/1Q3b2/2B5/1P2BP2/P1P3PP/2KR3R w - - 5 18,0.53,
r1bq1rk1/p1n1ppbp/2p3p1/1p1BP3/8/2N2N2/PPPBQPPP/2KRR3 b - - 0 12,0.11,
rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,0.14,
rn1q1rk1/1ppbbppp/p3pn2/8/P1pP4/5NP1/1PQ1PPBP/RNB2RK1 w - - 1 9,0.05,
r2qk2r/1bp1npb1/pp1ppnpp/8/P2PPB1P/2N2N2/1PPQBPP1/R3R1K1 w kq - 3 12,0.29,
3r1rk1/1pp2n2/p1p5/N1P1p1bp/PP2P1p1/1R2B3/5PPP/R5K1 b - - 4 23,0.1,
3r2k1/1p4pp/3rR3/pPBp2b1/P1b5/Q6P/5PP1/R5K1 b - - 0 34,-1.82,
8/5rpk/8/2R2K1P/6P1/8/8/8 w - - 23 81,0.55,
rn1q1rk1/5pb1/pp4pp/2pPp3/P3P3/2NQ2NP/1P3PP1/4RRK1 b - - 0 17,-0.01,
rnbqkbnr/pp1ppppp/8/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,-0.22,
r3r1k1/pb3ppp/1p1q4/3p4/4n3/3NP1P1/PPQ2PBP/R2R2K1 w - - 0 18,0.27,
2r4k/Q4pbp/6p1/3Bn3/1q6/6NP/PP2RPP1/6K1 b - - 2 31,-1.43,
q1nr2k1/5ppp/2b2b2/1pn1p3/4P3/N1P2N1P/1PB2PP1/2BQR1K1 w - - 5 20,0.16,
2rr2k1/4qppp/1p2p1n1/pN6/P1RR2n1/1P2P3/5PPP/4QBK1 b - - 0 23,-0.15,
rnbqkb1r/pppp1ppp/8/4p3/3Pn3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4,0.29,
2b5/Q1k3p1/2r1p3/3pP3/3P1N1P/3R1N2/1Pq3PK/2n5 b - - 2 41,-5.14,
rnbqkbnr/pp1p1ppp/4p3/2p5/2P1P3/5N2/PP1P1PPP/RNBQKB1R b KQkq - 0 3,-0.09,
r1bqkb1r/pp3ppp/2nppn2/8/3NP3/2N5/PPP1BPPP/R1BQK2R w KQkq - 2 7,0.3,
3r1nk1/p4p2/1pQP3p/1P2p1p1/8/6B1/1q3PPP/2R3K1 w - - 0 30,-0.39,
6k1/5pp1/2p1p3/2PnP3/3B4/q1p2KP1/2Q3P1/8 b - - 1 45,5.88,
r1b1kb1r/pp3ppp/n3pn2/3q4/8/2N5/PPPN1PPP/R1BQKB1R b KQkq - 3 8,-0.19,
1rbqr1k1/1p3pbp/p2p2p1/2pPn3/P3PB2/R4NP1/1PQ2PBP/4R1K1 w - - 3 17,0.19,
